Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 101, 1, 0, 0, 0, 0, 0, 
10, 101, 1, 0, 0, 0, 0, 0, 
15, 101, 1, 0, 0, 0, 0, 0, 
20, 101, 1, 0, 0, 0, 0, 0, 
