# ppt,,,
,eco3,eco3,eco3
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1979-01-01T00:00:00Z,0,0,0
1979-01-02T00:00:00Z,0,0,0
1979-01-03T00:00:00Z,0.52699006,0.27733812,0.52662903
1979-01-04T00:00:00Z,1.6767539,1.38845,1.178325
1979-01-05T00:00:00Z,1.3481381,1.4072206,1.1862633
1979-01-06T00:00:00Z,0.7713444,0.23761477,0.48745745
1979-01-07T00:00:00Z,4.5685573,12.519414,3.5382783
1979-01-08T00:00:00Z,9.299888,43.99662,6.6329947
1979-01-09T00:00:00Z,10.303723,36.685425,6.0568495
1979-01-10T00:00:00Z,40.322277,510.7546,22.59988
1979-01-11T00:00:00Z,60.47819,787.08124,28.054968
1979-01-12T00:00:00Z,12.999755,79.4768,8.914976
1979-01-13T00:00:00Z,7.85809,21.469374,4.6335053
1979-01-14T00:00:00Z,21.73812,39.729347,6.303122
1979-01-15T00:00:00Z,16.47382,64.39678,8.024761
1979-01-16T00:00:00Z,0.8948007,2.0849576,1.4439383
1979-01-17T00:00:00Z,0.048120778,0.004000061,0.063246034
1979-01-18T00:00:00Z,0.14327624,0.042692322,0.2066212
1979-01-19T00:00:00Z,0,0,0
1979-01-20T00:00:00Z,0,0,0
1979-01-21T00:00:00Z,0,0,0
1979-01-22T00:00:00Z,0,0,0
1979-01-23T00:00:00Z,1.0187846,0.9103812,0.954139
1979-01-24T00:00:00Z,3.0019746,1.7175891,1.3105682
1979-01-25T00:00:00Z,1.4702969,1.8575058,1.3629035
1979-01-26T00:00:00Z,0.25833896,0.08374133,0.28938094
1979-01-27T00:00:00Z,0.33287913,0.2031967,0.45077345
1979-01-28T00:00:00Z,1.1993947,1.5247841,1.2348214
1979-01-29T00:00:00Z,2.4727173,6.7486563,2.5978177
1979-01-30T00:00:00Z,3.7843242,2.8914301,1.7004206
1979-01-31T00:00:00Z,6.4598713,8.0264635,2.8331013
1979-02-01T00:00:00Z,2.9954166,1.6130912,1.2700753
1979-02-02T00:00:00Z,2.1693125,3.458143,1.8596083
1979-02-03T00:00:00Z,0,0,0
1979-02-04T00:00:00Z,0,0,0
1979-02-05T00:00:00Z,0,0,0
1979-02-06T00:00:00Z,0,0,0
1979-02-07T00:00:00Z,0,0,0
1979-02-08T00:00:00Z,0,0,0
1979-02-09T00:00:00Z,0,0,0
1979-02-10T00:00:00Z,0,0,0
1979-02-11T00:00:00Z,0,0,0
1979-02-12T00:00:00Z,6.459155,15.748639,3.9684556
1979-02-13T00:00:00Z,32.227325,309.40634,17.58995
1979-02-14T00:00:00Z,29.58384,499.33762,22.345863
1979-02-15T00:00:00Z,2.209462,1.6448444,1.2825149
1979-02-16T00:00:00Z,3.670598,14.562065,3.8160274
1979-02-17T00:00:00Z,3.0635548,6.8121514,2.61001
1979-02-18T00:00:00Z,10.339154,23.451044,4.8426275
1979-02-19T00:00:00Z,15.835458,107.33708,10.360361
1979-02-20T00:00:00Z,18.029242,58.467175,7.646383
