Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, 101, 1881, 1570.8, 441.2, 660.1, 20343, 0, 
10, 102, 7920, 63509.9, 758.9, 402.9, 1336.8, 0, 
20, 101, 1881, 1879.5, 451.3, 329.5, 9381.5, 0, 
20, 102, 7920, 67076.3, 773.3, 408.5, 1448.3, 0, 
30, 101, 1881, 2029.1, 448.4, 292.4, 5629.5, 0, 
30, 102, 7920, 70590.9, 783.3, 412.3, 1538.8, 0, 
40, 101, 1881, 2083.9, 444.4, 268, 4389.7, 0, 
40, 102, 7920, 74034.9, 791.1, 415.5, 1614.9, 0, 
50, 101, 1881, 2104.8, 442.3, 259.5, 3989.4, 0, 
50, 102, 7920, 77411.3, 797.2, 417.8, 1685.1, 0, 
