Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Konza prairie,0.744,Hayes and Seastedt 1987
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,3.58,Gholz et al. 1976; Grier and Milne 1981; Grier et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,3.37,Gholz et al. 1976; Grier and Milne 1981; Grier et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.02,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.14,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.13,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.16,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.3,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,1.34,Baskerville 1965; Baskerville 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies concolor,1.69,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies fraseri,2.29,Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies fraseri,3.12,Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies fraseri,1.61,Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies fraseri,1.71,Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies lasiocarpa,1.36,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies procera,3.03,Fujimori et al. 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies sachalinensis,3.32,Satoo 1973
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.56,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,4.17,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,3.03,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.61,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.64,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.5,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.42,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.34,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.55,Tadaki et al. 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.64,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.62,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.36,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.37,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,2.95,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,3.2,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,1.06,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,4.7,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,1.76,Droste zu Hülshoff 1970; Ellenberg 1981a
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,1.43,Droste zu Hülshoff 1970; Ellenberg 1981a
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,1.45,Droste zu Hülshoff 1970; Ellenberg 1981a
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,2.68,Satoo 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,1.51,Satoo 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,1.48,Satoo 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,2.35,Satoo 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,2.09,Satoo 1971; Yoshimura 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea abies,3.42,Nihlgard 1972; Nihlgard and Lindgren 1977; Nihlgard and Lindgren 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea rubens,2.17,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea rubens,1.24,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea rubens,2.77,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Picea rubens,2.34,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.39,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.45,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.22,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.22,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.27,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.19,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.19,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,2.16,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,1.82,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,1.77,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,1.46,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus banksiana,1.43,Gordon 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,2.5,Hatiya et al. 1965
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,2.46,Hatiya et al. 1965
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,2.21,Hatiya et al. 1965
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,2.11,Hatiya et al. 1965
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,3.18,Hatiya et al. 1965
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.613,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.596,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.932,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.934,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.26,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.55,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.24,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.11,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.704,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.35,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.03,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,1.9,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.33,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,2.46,Hanley 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,1.53,Minderman 1967
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,2.09,Miller et al. 1976; Miller and Miller 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,2.12,Miller et al. 1976; Miller and Miller 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,2.1,Miller et al. 1976; Miller and Miller 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,1.98,Miller et al. 1976; Miller and Miller 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,1.7,Miller et al. 1976; Miller and Miller 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus pinea,1.89,Droste zu Hülshoff 1970; Ellenberg 1981a
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus ponderosa,0.981,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus ponderosa,0.983,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus ponderosa,0.933,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus ponderosa,0.851,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,2.29,Forrest 1973; Forrest and Ovington 197
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,4.03,Forrest 1973; Forrest and Ovington 1970
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,3.59,Forrest 1973; Forrest and Ovington 1970
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,3.3,Forrest 1973; Forrest and Ovington 1970
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,2.08,Madgwick et al. 1977a; Madgwick et al. 1977b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,2.28,Madgwick et al. 1977a; Madgwick et al. 1977b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus resinosa,1.39,Madgwick 1962; Madgwick et al. 1970
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus rigida,1.61,Olsvig 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus rigida,1.51,Olsvig 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus rigida,1.99,Olsvig 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus rigida,1.28,Olsvig 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus strobus,2.73,Swank and Schreuder 1973; Swank and Schreuder 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,1.8,Mälkönen 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,2.07,Mälkönen 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,2.11,Mälkönen 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,2.51,Alvera 1973; Alvera 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,2.05,Nemeth 1973a; Nemeth 1973b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,1.98,Nemeth 1973a; Nemeth 1973b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,3.61,Nemeth 1973a; Nemeth 1973b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,4.8,Nemeth 1973a; Nemeth 1973b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,1.99,Ralston 1973
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,1.56,Wells et al. 197
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,1.82,Nemeth 1973a; Nemeth 1973b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus virginiana,1.89,Madgwick 1968
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga,1.65,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga,1.69,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga,1.24,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,5.32,Cole et al. 1968; Cole et al. 1981; Dice 1970; Grier et al. 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.95,Cole et al. 1968; Cole et al. 1981; Dice 1970; Grier et al. 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,2.65,Keyes and Grier 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.28,Keyes and Grier 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.07,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.54,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.18,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.68,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,2.63,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.17,Turner 1981; Turner and Long 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.31,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.72,Whittaker and Niering 1968; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.1,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.38,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Tsuga diversifolia,2.23,Kitazawa 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Tsuga heterophylla,4.15,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Tsuga heterophylla,3.63,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Evergreen needle leaf forest,Tsuga sieboldii,1.45,Ando et al. 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Acer platanoides,2.46,Hytteborn 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Acer saccharum,2.29,Whittaker 1966; Whittaker 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Acer saccharum,2.29,Whittaker 1966; Whittaker 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Aesculus octandra,3.03,Whittaker 1966; Whittaker 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus glutinosa,1.78,Schlesinger 1978
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus glutinosa,3.48,Nihlgard 1972; Nihlgard and Lindgren 1977; Nihlgard and Lindgren 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus incana,1.83,Whittaker 1966; Whittaker 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,3.17,van Cleve et al. 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,1.85,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,1.96,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,2,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,1.67,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,1.43,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,1.33,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula maximowicziana,0.933,Jakus 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula maximowicziana,1.82,Satoo 1970; Satoo 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula maximowicziana,1.79,Satoo 1970; Satoo 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula pubescens,4,Holm and Jensen 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula pubescens,1.57,Auclair and Me´teyer 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula spp.,0.92,Decei 1981; Donita et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,2.78,Hughes 1970; Hughes 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,3.5,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.25,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.53,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.86,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.57,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.92,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.5,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.2,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Betula verrucosa,4.19,Ovington and Madgwick 1959a; Ovington and Madgwick 1959b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Carpinus betulus,1.41,Ma¨lko¨nen 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Carya spp.,1.27,Harris et al. 1973; Harris and Henderson 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Castanea sativa,1.5,Ford and Newbould 1970; Ford and Newbould 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Castanea sativa,2.57,Ford and Newbould 1970; Ford and Newbould 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Castanea sativa,3.42,Ford and Newbould 1970; Ford and Newbould 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Castanea sativa,2.03,Ford and Newbould 1970; Ford and Newbould 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.15,Satoo 1970; Satoo 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.06,Tadaki et al. 1969
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.34,Tadaki et al. 1969
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.43,Tadaki et al. 1969
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.17,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.2,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.51,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.869,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.746,Kakubari 1977
