Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.27,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.294,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.217,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.238,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.238,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.27,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.286,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus banksiana ,0.278,Gordon 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus densiflora ,0.556,Hatiya et al. 1965
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus densiflora ,0.556,Hatiya et al. 1965
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus densiflora ,0.526,Hatiya et al. 1965
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus densiflora ,0.556,Hatiya et al. 1965
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus densiflora ,0.5,Hatiya et al. 1965
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.385,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.476,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.333,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.238,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.385,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.256,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.256,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.286,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.256,Hanley 1976
